boundary,x_c,y_c,nx,ny,A
left,0.0,0.07162500000000001,-1.0,0.0,2.5e-06
left,0.0,0.07187500000000001,-1.0,0.0,2.5e-06
left,0.0,0.072125,-1.0,0.0,2.5e-06
left,0.0,0.072375,-1.0,0.0,2.5e-06
left,0.0,0.072625,-1.0,0.0,2.5e-06
left,0.0,0.072875,-1.0,0.0,2.5e-06
left,0.0,0.073125,-1.0,0.0,2.5e-06
left,0.0,0.073375,-1.0,0.0,2.5e-06
left,0.0,0.073625,-1.0,0.0,2.5e-06
left,0.0,0.073875,-1.0,0.0,2.5e-06
left,0.0,0.074125,-1.0,0.0,2.5e-06
left,0.0,0.074375,-1.0,0.0,2.5e-06
left,0.0,0.074625,-1.0,0.0,2.5e-06
left,0.0,0.074875,-1.0,0.0,2.5e-06
left,0.0,0.075125,-1.0,0.0,2.5e-06
left,0.0,0.075375,-1.0,0.0,2.5e-06
left,0.0,0.075625,-1.0,0.0,2.5e-06
left,0.0,0.075875,-1.0,0.0,2.5e-06
left,0.0,0.076125,-1.0,0.0,2.5e-06
left,0.0,0.076375,-1.0,0.0,2.5e-06
left,0.0,0.076625,-1.0,0.0,2.5e-06
left,0.0,0.076875,-1.0,0.0,2.5e-06
left,0.0,0.077125,-1.0,0.0,2.5e-06
left,0.0,0.077375,-1.0,0.0,2.5e-06
left,0.0,0.077625,-1.0,0.0,2.5e-06
left,0.0,0.077875,-1.0,0.0,2.5e-06
left,0.0,0.078125,-1.0,0.0,2.5e-06
left,0.0,0.078375,-1.0,0.0,2.5e-06
left,0.0,0.078625,-1.0,0.0,2.5e-06
left,0.0,0.078875,-1.0,0.0,2.5e-06
left,0.0,0.079125,-1.0,0.0,2.5e-06
left,0.0,0.079375,-1.0,0.0,2.5e-06
left,0.0,0.079625,-1.0,0.0,2.5e-06
left,0.0,0.079875,-1.0,0.0,2.5e-06
right,0.1,0.000125,1.0,0.0,2.5e-06
right,0.1,0.000375,1.0,0.0,2.5e-06
right,0.1,0.000625,1.0,0.0,2.5e-06
right,0.1,0.000875,1.0,0.0,2.5e-06
right,0.1,0.0011250000000000001,1.0,0.0,2.5e-06
right,0.1,0.001375,1.0,0.0,2.5e-06
right,0.1,0.0016250000000000001,1.0,0.0,2.5e-06
right,0.1,0.001875,1.0,0.0,2.5e-06
right,0.1,0.002125,1.0,0.0,2.5e-06
right,0.1,0.002375,1.0,0.0,2.5e-06
right,0.1,0.002625,1.0,0.0,2.5e-06
right,0.1,0.002875,1.0,0.0,2.5e-06
right,0.1,0.003125,1.0,0.0,2.5e-06
right,0.1,0.003375,1.0,0.0,2.5e-06
right,0.1,0.003625,1.0,0.0,2.5e-06
right,0.1,0.003875,1.0,0.0,2.5e-06
right,0.1,0.004125,1.0,0.0,2.5e-06
right,0.1,0.004375,1.0,0.0,2.5e-06
right,0.1,0.004625,1.0,0.0,2.5e-06
right,0.1,0.004875,1.0,0.0,2.5e-06
right,0.1,0.005125,1.0,0.0,2.5e-06
right,0.1,0.0053750000000000004,1.0,0.0,2.5e-06
right,0.1,0.005625,1.0,0.0,2.5e-06
right,0.1,0.005875,1.0,0.0,2.5e-06
right,0.1,0.006125,1.0,0.0,2.5e-06
right,0.1,0.0063750000000000005,1.0,0.0,2.5e-06
right,0.1,0.006625,1.0,0.0,2.5e-06
right,0.1,0.006875,1.0,0.0,2.5e-06
right,0.1,0.007125,1.0,0.0,2.5e-06
right,0.1,0.0073750000000000005,1.0,0.0,2.5e-06
right,0.1,0.007625,1.0,0.0,2.5e-06
right,0.1,0.007875,1.0,0.0,2.5e-06
right,0.1,0.008125,1.0,0.0,2.5e-06
right,0.1,0.008375,1.0,0.0,2.5e-06
right,0.1,0.008625,1.0,0.0,2.5e-06
right,0.1,0.008875000000000001,1.0,0.0,2.5e-06
right,0.1,0.009125,1.0,0.0,2.5e-06
right,0.1,0.009375,1.0,0.0,2.5e-06
right,0.1,0.009625,1.0,0.0,2.5e-06
right,0.1,0.009875,1.0,0.0,2.5e-06
right,0.1,0.010125,1.0,0.0,2.5e-06
right,0.1,0.010375,1.0,0.0,2.5e-06
right,0.1,0.010625,1.0,0.0,2.5e-06
right,0.1,0.010875000000000001,1.0,0.0,2.5e-06
right,0.1,0.011125,1.0,0.0,2.5e-06
right,0.1,0.011375,1.0,0.0,2.5e-06
right,0.1,0.011625,1.0,0.0,2.5e-06
right,0.1,0.011875,1.0,0.0,2.5e-06
right,0.1,0.012125,1.0,0.0,2.5e-06
right,0.1,0.012375,1.0,0.0,2.5e-06
right,0.1,0.012625,1.0,0.0,2.5e-06
right,0.1,0.012875000000000001,1.0,0.0,2.5e-06
right,0.1,0.013125,1.0,0.0,2.5e-06
right,0.1,0.013375,1.0,0.0,2.5e-06
right,0.1,0.013625,1.0,0.0,2.5e-06
right,0.1,0.013875,1.0,0.0,2.5e-06
right,0.1,0.014125,1.0,0.0,2.5e-06
right,0.1,0.014375,1.0,0.0,2.5e-06
right,0.1,0.014625,1.0,0.0,2.5e-06
right,0.1,0.014875000000000001,1.0,0.0,2.5e-06
right,0.1,0.015125,1.0,0.0,2.5e-06
right,0.1,0.015375,1.0,0.0,2.5e-06
right,0.1,0.015625,1.0,0.0,2.5e-06
right,0.1,0.015875,1.0,0.0,2.5e-06
right,0.1,0.016125,1.0,0.0,2.5e-06
right,0.1,0.016375,1.0,0.0,2.5e-06
right,0.1,0.016625,1.0,0.0,2.5e-06
right,0.1,0.016875,1.0,0.0,2.5e-06
right,0.1,0.017125,1.0,0.0,2.5e-06
right,0.1,0.017375,1.0,0.0,2.5e-06
right,0.1,0.017625000000000002,1.0,0.0,2.5e-06
right,0.1,0.017875000000000002,1.0,0.0,2.5e-06
right,0.1,0.018125,1.0,0.0,2.5e-06
right,0.1,0.018375,1.0,0.0,2.5e-06
right,0.1,0.018625,1.0,0.0,2.5e-06
right,0.1,0.018875,1.0,0.0,2.5e-06
right,0.1,0.019125,1.0,0.0,2.5e-06
right,0.1,0.019375,1.0,0.0,2.5e-06
right,0.1,0.019625,1.0,0.0,2.5e-06
right,0.1,0.019875,1.0,0.0,2.5e-06
right,0.1,0.020125,1.0,0.0,2.5e-06
right,0.1,0.020375,1.0,0.0,2.5e-06
right,0.1,0.020625,1.0,0.0,2.5e-06
